cls001|Pasensya na po ulit sa naging abala kanina, salamat sa pag-unawa ninyo.
cls004|Paumanhin po sa anumang pagkukulang, asahan ninyong pagbubutihin pa namin ito.
cls006|Wag po kayong mag-alala, babantayan ko mismo ang inyong order hanggang dumating.
cls008|Sigurado pong matatanggap ninyo nang maayos ang lahat ng inyong binili ngayon.
cls010|Makakaasa po kayong maipapadala agad namin ito bukas na bukas din.
cls011|Babasahin ko lang po ulit ang inyong order para makasiguro tayo.
cls014|I-confirm ko lang po ang inyong address, ito ay sa quezon city.
cls015|Paki-check po ang inyong telepono mamaya para sa official text ng courier.
cls016|Your final total is exactly one thousand two hundred fifty pesos today.
cls018|Ipapasok ko na po ang mga detalye ninyo sa aming system ngayon.
cls020|Bale pito po lahat ang items na ipadadala namin sa inyong bahay.
cls023|I will process the invoice pagkatapos na pagkatapos ng ating pag-uusap ngayon.
cls024|Three hundred po ang inyong sukli na ibibigay ng rider bukas.
cls026|Nakuha ko na po ang lahat ng kailangan kong impormasyon mula sa inyo.
cls029|Two thousand five hundred pesos po ang total ng inyong bibilhin.
cls031|Pwede na po nating i-finalize ang inyong payment para maka-usad na tayo.
cls032|Iche-check po muna nila nang maigi ang bawat item bago tuluyang ipasok sa kahon.
cls033|Once the system validates your request, ia-arrange na po namin ang pickup.
cls035|Mangyaring itago ang inyong reference number para sa mga susunod ninyong transaksyon.
cls038|Paki-ready na lang po ang bayad ninyo kapag dumating na ang rider.
cls039|Your purchase is now completely logged sa aming main inventory tracking system.
cls040|Titignan po ng aming supervisor ang inyong form bago nila ito pirmahan.
cls041|Ang resibo po ninyo ay ipapadala kasama ng mismong package sa kahon.
cls043|Bukas po nang umaga namin sisimulan ang pagbalot ng inyong mga gamit.
cls044|Tatawag po ulit kami kapag kailangan pa namin ng karagdagang impormasyon mula sa inyo.
cls048|Yay, confirmed na po ang inyong order at ready na for shipping!
cls049|Magandang araw po at maraming salamat sa inyong walang sawang pagtangkilik sa amin!
cls051|Sige po, asahan niyo pong darating iyan sa lalong madaling panahon!
cls053|Maraming salamat po, mag-iingat po kayo palagi at magandang hapon sa inyo!
cls056|Maraming salamat sa masayang pag-uusap natin, hanggang sa muli nating pagkikita!
cls058|Sige po, ibababa ko na ang linya, enjoy the rest of your day!
cls060|Salamat po sa masiglang kwentuhan, aasikasuhin ko na po ang inyong package!
cls061|Walang anuman po, isang malaking karangalan ang paglingkuran kayo ngayong araw na ito!
cls065|Maraming salamat po, excited na akong matanggap ninyo ang inyong napiling item!
cls066|Lubos po kaming nagpapasalamat sa inyong pagbili, magandang araw po sa inyo!
cls068|Sige po, maraming salamat sa time niyo at ingat po palagi sa byahe!
cls070|Na-process na po natin nang maayos, salamat po sa inyong tiwala at suporta!
cls071|Kagalakan po naming matulungan kayo, nawa ay maging maganda ang inyong buong linggo!
cls073|Done na po tayo, maraming salamat at have a very nice day po!
cls075|Maraming salamat po sa pag-order, siguradong magugustuhan niyo po ang item na ito!
cls076|Taos puso po kaming nagpapasalamat, pagpalain po nawa kayo ng ating maykapal ngayon!
cls079|Thank you for your continued loyalty, nandito lang kami palagi para tumulong!
cls081|Isang masayang araw po sa inyo at maraming salamat sa pagtawag sa amin!
cls083|Sige po, i-pack na namin ito agad-agad para mabilis pong dumating sa inyo!
cls085|Maraming salamat po sa inyong pang-unawa at pasensya, ingat po kayo palagi diyan!
cls086|Maraming salamat sa napakagandang transaksyon natin, nawa ay masiyahan kayo sa inyong binili!
cls088|Sige po, babye na po at maraming salamat sa pagpili sa aming shop!
cls090|Salamat po sa masayang chikahan natin habang pino-process ko ang inyong order ngayon!
cls091|Malugod po kaming nagpapasalamat sa inyong pagtangkilik, hanggang sa muli nating pag-uusap bukas!
cls093|Okay na okay na po lahat, maraming salamat at mag-ingat po kayo palagi!
cls095|Sige po sir, maraming salamat po talaga at have a wonderful day ahead!
cls096|Maraming salamat po sa napakabilis ninyong pagtugon, isang magandang hapon po sa inyo!
cls098|Maraming salamat po sa napakalaking order ninyo, ipapasa ko na po sa warehouse!
cls100|Sige po, thank you so much again, babye at mag-ingat po kayo palagi!
dlv001|Pasensya na po, medyo na-delay ang rider natin dahil sa malakas na ulan.
dlv004|Paumanhin po kung hindi agad na-update ang tracking system ng ating courier.
dlv006|Naku, pasensya na po at nagka-aberya sa sorting center kaninang madaling araw.
dlv007|Sorry po, hindi kasi nahanap ng rider yung mismong address ninyo kanina.
dlv009|Patawad po dahil medyo natagalan ang pagbalot namin sa inyong mga binili.
dlv011|Pasensya na po, nasira daw po ang sasakyan ng aming delivery team.
dlv014|Paumanhin po, ngunit kailangan po nating i-reschedule ang delivery para bukas ng hapon.
dlv016|Wag po kayong mag-alala, tatawag muna ang rider bago siya pumunta diyan.
dlv018|Makakaasa po kayong ipapadala namin agad ang replacement parcel ninyo bukas.
dlv020|Huwag pong mabahala, sigurado pong darating ang order ninyo bago mag-weekend.
dlv023|I-a-update ko po kayo palagi kung nasaan na ang inyong order.
dlv024|Please do not worry, I already expedited the shipping for this order.
dlv025|Sigurado pong tatawag ang logistics team kapag malapit na sila sa bahay ninyo.
