cls001|Pasensya na po ulit sa naging abala kanina, salamat sa pag-unawa ninyo.
cls002|We apologize again for the slight delay during our call today.
cls003|Sorry po kung medyo natagalan ang pag-process natin ng inyong order.
cls004|Paumanhin po sa anumang pagkukulang, asahan ninyong pagbubutihin pa namin ito.
cls005|I am truly sorry for the inconvenience, but thank you for ordering.
cls006|Wag po kayong mag-alala, babantayan ko mismo ang inyong order hanggang dumating.
cls007|Rest assured that your package will be delivered safely right to your doorstep.
cls008|Sigurado pong matatanggap ninyo nang maayos ang lahat ng inyong binili ngayon.
cls009|I assure you that everything is completely finalized and ready for dispatch.
cls010|Makakaasa po kayong maipapadala agad namin ito bukas na bukas din.
cls011|Babasahin ko lang po ulit ang inyong order para makasiguro tayo.
cls012|Let me read back ang inyong complete delivery details bago tayo mag-end.
cls013|Uulitin ko po, dalawang malaking t-shirt na kulay itim ang inyong kinuha.
cls014|I-confirm ko lang po ang inyong address, ito ay sa quezon city.
cls015|Paki-check po ang inyong telepono mamaya para sa official text ng courier.
cls016|Your final total is exactly one thousand two hundred fifty pesos today.
cls017|Isasara ko na po ang transaction natin para sa araw na ito.
cls018|Ipapasok ko na po ang mga detalye ninyo sa aming system ngayon.
cls019|Please expect a confirmation email containing your digital receipt later this afternoon.
cls020|Bale pito po lahat ang items na ipadadala namin sa inyong bahay.
cls021|Kumpirmahin po natin ang inyong pangalan at contact number bago ibaba ang linya.
cls022|Naka-record na po ang inyong request kaya wala na po kayong gagawin.
cls023|I will process the invoice pagkatapos na pagkatapos ng ating pag-uusap ngayon.
cls024|Three hundred po ang inyong sukli na ibibigay ng rider bukas.
cls025|Hanggang dito na lang po muna ang ating pag-uusap tungkol sa order ninyo.
cls026|Nakuha ko na po ang lahat ng kailangan kong impormasyon mula sa inyo.
cls027|Thank you for providing all the necessary information for your account update.
cls028|Hintayin niyo na lang po ang pagtawag ng aming dispatch team mamaya.
cls029|Two thousand five hundred pesos po ang total ng inyong bibilhin.
cls030|We will keep your personal details strictly confidential dito sa aming database.
cls031|Pwede na po nating i-finalize ang inyong payment para maka-usad na tayo.
cls032|Iche-check po muna nila nang maigi ang bawat item bago tuluyang ipasok sa kahon.
cls033|Once the system validates your request, ia-arrange na po namin ang pickup.
cls034|Kung wala na po kayong idadagdag, ipa-process ko na po ito agad.
cls035|Mangyaring itago ang inyong reference number para sa mga susunod ninyong transaksyon.
cls036|I will now submit your completed order form diretso sa aming warehouse.
cls037|Ilalagay ko na po ito sa listahan ng mga ipapadala natin sa lingo.
cls038|Paki-ready na lang po ang bayad ninyo kapag dumating na ang rider.
cls039|Your purchase is now completely logged sa aming main inventory tracking system.
cls040|Titignan po ng aming supervisor ang inyong form bago nila ito pirmahan.
cls041|Ang resibo po ninyo ay ipapadala kasama ng mismong package sa kahon.
cls042|We have successfully updated your shipping preferences para sa inyong future orders.
cls043|Bukas po nang umaga namin sisimulan ang pagbalot ng inyong mga gamit.
cls044|Tatawag po ulit kami kapag kailangan pa namin ng karagdagang impormasyon mula sa inyo.
cls045|If you have no further questions, we can end the call right here.
cls046|Maraming salamat po sa inyong tiwala at pag-order sa aming shop ngayon!
cls047|Thank you so much for choosing our store for your shopping today!
cls048|Yay, confirmed na po ang inyong order at ready na for shipping!
cls049|Magandang araw po at maraming salamat sa inyong walang sawang pagtangkilik sa amin!
cls050|Have a wonderful day ahead and thank you for calling us today!
cls051|Sige po, asahan niyo pong darating iyan sa lalong madaling panahon!
cls052|Perfect! Naka-secure na po ang inyong items and ready for immediate dispatch!
cls053|Maraming salamat po, mag-iingat po kayo palagi at magandang hapon sa inyo!
cls054|We look forward to serving you again very soon, have a great afternoon!
cls055|Yehey, pasok na po sa system natin ang inyong napakagandang purchase today!
cls056|Maraming salamat sa masayang pag-uusap natin, hanggang sa muli nating pagkikita!
cls057|Thank you for your wonderful patience, your order is now fully confirmed!
cls058|Sige po, ibababa ko na ang linya, enjoy the rest of your day!
cls059|You made a fantastic choice today, salamat po sa pag-trust sa amin!
cls060|Salamat po sa masiglang kwentuhan, aasikasuhin ko na po ang inyong package!
cls061|Walang anuman po, isang malaking karangalan ang paglingkuran kayo ngayong araw na ito!
cls062|Have a safe and happy weekend, thank you for calling our hotline!
cls063|Ayan, okay na po lahat, maraming salamat ulit at bye bye po!
cls064|We truly appreciate your business, please take care at goodbye for now!
cls065|Maraming salamat po, excited na akong matanggap ninyo ang inyong napiling item!
cls066|Lubos po kaming nagpapasalamat sa inyong pagbili, magandang araw po sa inyo!
cls067|It was a pleasure speaking with you, have a highly productive day ahead!
cls068|Sige po, maraming salamat sa time niyo at ingat po palagi sa byahe!
cls069|Thank you for being such a kind and wonderful customer to us today!
cls070|Na-process na po natin nang maayos, salamat po sa inyong tiwala at suporta!
cls071|Kagalakan po naming matulungan kayo, nawa ay maging maganda ang inyong buong linggo!
cls072|Thank you for reaching out, sana magustuhan niyo po ang bagong item!
cls073|Done na po tayo, maraming salamat at have a very nice day po!
cls074|You are all set, thank you for allowing me to assist you today!
cls075|Maraming salamat po sa pag-order, siguradong magugustuhan niyo po ang item na ito!
cls076|Taos puso po kaming nagpapasalamat, pagpalain po nawa kayo ng ating maykapal ngayon!
cls077|I am so glad we could quickly resolve everything for you right now!
cls078|Okay na po, maraming salamat at sana makapag-order po kayo ulit sa amin!
cls079|Thank you for your continued loyalty, nandito lang kami palagi para tumulong!
cls080|Maraming salamat po, looking forward na matanggap niyo ang order niyo this week!
cls081|Isang masayang araw po sa inyo at maraming salamat sa pagtawag sa amin!
cls082|We highly value your feedback and thank you for taking the time today!
cls083|Sige po, i-pack na namin ito agad-agad para mabilis pong dumating sa inyo!
